unique,caseno,Date,block,iucr,Type,Type_desc,Where,Arrest,Domestic,Beat,District,Ward,Community_area,FBI,x,y,Year,Updated,Latitude,Longitude,Location,color1,color2
10226553,HY413747,09-07-2015 10:00,033XX W LAWRENCE AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1713,17,39,14,6,1153323,1931697,2015,02-10-2018 15:50,41.96842394,-87.71162178,"(41.968423937, -87.711621779)",#FE9A65,#FD7C37
10226554,HY414065,09-07-2015 13:35,033XX W LAWRENCE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1713,17,39,14,11,1153323,1931697,2015,02-10-2018 15:50,41.96842394,-87.71162178,"(41.968423937, -87.711621779)",#CFFC8F,#B6FA54
10226555,HY414066,09-07-2015 14:00,001XX N LAPORTE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1532,15,28,25,18,1143350,1900754,2015,02-10-2018 15:50,41.88370596,-87.74906763,"(41.883705962, -87.749067634)",#ff005a,#eb0c83
10226556,HY414049,09-07-2015 11:47,020XX E 71ST ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,331,3,5,43,04B,1191022,1858323,2015,02-10-2018 15:50,41.76624907,-87.57538856,"(41.766249073, -87.575388558)",#A5FCD4,#6CFFBA
10226557,HY413865,09-07-2015 14:15,051XX W HURON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,TRUE,FALSE,1532,15,28,25,18,1141812,1904132,2015,09/17/2015 11:37:18 AM,41.8930042,-87.75463172,"(41.8930042, -87.754631723)",#ff005a,#eb0c83
10226558,HY414063,09-07-2015 13:35,052XX N SHERIDAN RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,2023,20,48,77,6,1168697,1934885,2015,09/17/2015 11:37:18 AM,41.97685185,-87.65499969,"(41.976851852, -87.654999693)",#FE9A65,#FD7C37
10226560,HY414035,09-07-2015 13:42,024XX W 63RD ST,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,825,8,15,66,08B,1161027,1862810,2015,02-10-2018 15:50,41.77923474,-87.68520713,"(41.779234743, -87.685207125)",#A5FCD4,#6CFFBA
10226561,HY414029,09-07-2015 00:30,009XX N DEARBORN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,1832,18,42,8,08B,1175772,1906572,2015,02-10-2018 15:50,41.89900343,-87.62983653,"(41.899003431, -87.629836526)",#A5FCD4,#6CFFBA
10226562,HY414044,09-07-2015 03:00,062XX N MC CORMICK RD,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,BAR OR TAVERN,FALSE,FALSE,1711,17,50,13,3,1152773,1941448,2015,02-10-2018 15:50,41.99519216,-87.71338461,"(41.995192162, -87.713384607)",#7BFC90,#11F537
10226563,HY414072,09-07-2015 03:00,062XX S EVANS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,313,3,20,42,08B,1182293,1863838,2015,02-10-2018 15:50,41.78158938,-87.60721243,"(41.781589382, -87.607212431)",#A5FCD4,#6CFFBA
