city,crime_name,2011,2012,2013,2014,avg
Amritsar,Making or possessing materials for forged currency or bank notes,,,,0,0
Amritsar,Making or using documents resembling currency notes or bank notes,,,,0,0
Amritsar,Making preparation and assembly for committing dacoity,,,,1,1
Amritsar,Murder,2.7,3.5,1.5,2.4,3.1
Amritsar,Offences against state,,,,0,0
Amritsar,Offences promoting enmity between different groups,,,,0,0
Amritsar,Offences related to counterfeit coin,,,,0,0
Amritsar,Other IPC crimes,41,43.9,36.8,39.4,44.4
Amritsar,Other cases of assault on women to outrage her modesty,,,,0,0
Amritsar,Other caste conflict riots,,,,0,0
Amritsar,Other kidnapping & abduction,,,,2.1,2.1
Amritsar,Other rape,3.6,4.9,5.2,0,3.6
Amritsar,Other rape other than custodial,,,,5.8,5.8
Amritsar,Other theft,20.9,22.6,13.5,19.5,18.3
Amritsar,Political riots,,,,0,0
Amritsar,Possession of forged or counterfeiting currency or bank notes,,,,0,0
Amritsar,Preparation & assembly for dacoity,1.4,1.2,0.4,0,1.2
Amritsar,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0,0
Amritsar,Rape,3.6,4.9,5.2,6.1,4.8
Amritsar,Rape other than custodial,,,,6.1,6.1
Amritsar,Riots,0,0,0,0,0
Amritsar,Riots others,,,,0,0
Amritsar,Robbery,1,2.1,0.5,1.1,1.1
Amritsar,SCs-STs vs Non-SCs-STs riots,,,,0,0
Amritsar,Sectarian riots,,,,0,0
Amritsar,Sedition,,,,0,0
Amritsar,Sexual harassment,,,,8.1,8.1
Amritsar,Sexual harassment and molestation of women,1.4,2.5,10.3,8.5,5
Amritsar,Stalking,,,,0,0
Amritsar,Student riots,,,,0,0
Amritsar,Theft,32.9,35.1,21.9,27.4,28.5
Amritsar,Total cognizable crimes under IPC,152.6,165.9,139.5,168.8,161.6
Amritsar,Unlawful assembly,,,,0,0
Amritsar,Unnatural offences,,,,0.3,0.3
Amritsar,Use of criminal force with intent to disrobe women,,,,0,0
Amritsar,"Using as genuine, forged or counterfeiting currency or bank notes",,,,0,0
Amritsar,Voyeurism,,,,0,0
Asansol,Acid attack,,,,0.2,0.2
Asansol,Agrarian riots,,,,0,0
Asansol,Arson,0,0.1,0.2,0.8,0.3
Asansol,Assault on women with intent to outrage her modesty,5,5.2,12.3,26.6,10.3
Asansol,Attempt to acid attack,,,,0,0
Asansol,Attempt to commit culpable homicide not amounting to murder,,,,0,0
Asansol,Attempt to commit murder,0.2,2,3.9,13.2,4
Asansol,Attempt to commit rape,,,,3.4,3.4
Asansol,Auto theft,22.1,20.4,19.9,22.4,20.2
Asansol,Burglary,0.7,1.7,1.8,0.8,1.1
Asansol,Caste conflict riots,,,,0,0
Asansol,Causing death by negligence,13.6,15.7,16.2,17,14.5
Asansol,Causing injuries under rash driving or road rage,,,,17.9,17.9
Asansol,Cheating,6.1,1.2,11.1,10.9,6.7
Asansol,Communal riots,,,,0,0
Asansol,Counterfeit currency & bank notes total,,,,0.2,0.2
Asansol,Counterfeiting,0,0.2,0.3,0.2,0.2
Asansol,Counterfeiting currency - notes or bank notes,,,,0.2,0.2
Asansol,Counterfeiting government stamp,,,,0,0
Asansol,Criminal breach of trust,0.8,1.6,7.9,7.9,3.7
Asansol,Criminal trespass or burglary,,,,0.8,0.8
Asansol,Cruelty by husband or his relatives,77.5,40.3,78.5,82.4,66.2
Asansol,Culpable homicide not amounting to murder,0.9,0.7,0.6,0.8,0.9
Asansol,Custodial rape,0,0,0,0,0
Asansol,Dacoity,0.6,1.2,1,0.4,0.7
Asansol,Dacoity with murder,,,,0,0
Asansol,Deaths due to other causes,,,,0,0
